Country,y2011,y2010,y2009,y2008,y2007,y2006,y2005,y2004,y2003,y2002
Afghanistan,*,?,n/a,1.8,,2.5,?,*,n/a,
Albania,3.1,3.3,3.2,3.4,2.9,2.6,2.4,2.5,2.5,2.5
Algeria,2.9,2.9,2.8,3.2,3,3.1,2.8,2.7,2.6,
Angola,2.0,1.9,2.2,1.9,2.2,2,2,1.8,1.7,
Argentina,3.0,2.9,2.9,2.9,2.9,2.9,2.8,2.5,2.5,2.8
Armenia,2.6,2.6,2.9,3,2.9,2.9,3.1,3,,
Australia,8.8,8.7,8.7,8.7,8.6,8.7,8.8,8.8,8.6,8.5
Austria,7.8,7.9,7.9,8.1,8.1,8.6,8.7,8,7.8,7.8
Azerbaijan,2.4,2.4,1.9,2.1,2.4,2.2,1.9,1.8,2,
Bahamas,7.3,,,,,,,,,
Bahrain,5.1,4.9,5.1,5.4,5,5.7,5.8,5.8,6.1,
Bangladesh,2.7,2.4,2.1,2,2,1.7,1.5,1.3,1.2,
Barbados,7.8,7.8,7.4,7,6.9,6.7,6.9,,,
Belarus,2.4,2.5,2,2.1,2.1,2.6,3.3,4.2,4.8,6.6
Belgium,7.5,7.1,7.1,7.3,7.1,7.3,7.4,7.6,7.1,
Benin,3.0,2.8,2.9,3.1,2.7,2.5,2.9,3.2,,
Bhutan,5.7,5.7,5,5.4,5,,,,,2.2
Bolivia,2.8,2.8,2.7,3,2.9,2.7,2.5,2.2,2.3,
Bosnia and Herzegovina,3.2,3.2,3.2,3.3,2.9,2.9,3.1,3.3,,6.4
Botswana,6.1,5.8,5.6,5.8,5.4,5.6,5.9,6,5.7,4
Brazil,3.8,3.7,3.7,3.5,3.5,3.3,3.7,3.9,3.9,
Brunei,5.2,5.5,5.5,,,,,,,4
Bulgaria,3.3,3.6,3.8,3.6,4.1,4,4,4.1,3.9,
Burkina Faso,3.0,3.1,3.6,3.5,2.9,3.2,3.4,,,
Burundi,1.9,1.8,1.9,2.5,2.4,2.3,,,,
Cambodia,2.1,2.1,1.8,2,2.1,2.3,1.5,1.3,1.2,
Cameroon,2.5,2.2,2.3,2.4,2.3,2.2,2.1,1.8,2.2,8.9
Canada,8.7,8.9,8.7,8.7,8.7,8.5,8.4,8.7,9,
Cape Verde,5.5,5.1,5.1,5.1,4.9,,,,,
Central African Republic,2.2,2.1,2,2,2.4,,,,,
Chad,2.0,1.7,1.6,1.8,2,1.7,1.7,,,7.5
Chile,7.2,7.2,6.7,6.9,7,7.3,7.3,7.4,7.5,3.5
China,3.6,3.5,3.6,3.6,3.5,3.3,3.2,3.4,3.4,3.6
Colombia,3.4,3.5,3.7,3.8,3.8,3.9,4,3.8,3.7,
Comoros,2.4,2.1,2.5,2.6,,,,,,4.5
Costa Rica,4.8,5.3,5.3,5.1,5,4.1,4.2,4.9,4.3,3.8
Côte d´Ivoire,2.2,,,,,,,,,
Croatia,4.0,4.1,4.1,4.4,4.1,3.4,3.4,3.5,3.7,
Cuba,4.2,3.7,4.4,4.3,4.2,3.5,3.8,3.7,4.6,
Cyprus,6.3,6.3,6.6,6.4,5.3,5.6,5.7,5.4,6.1,3.7
Czech Republic,4.4,4.6,4.9,5.2,5.2,4.8,4.3,4.2,3.9,
Democratic Republic of the Congo,2.0,2,1.8,1.9,2,2.1,2,,,9.5
Denmark,9.4,9.3,9.3,9.3,9.4,9.5,9.5,9.5,9.5,
Djibouti,3.0,3.2,3,2.9,,,,,,3.2
Dominica,5.2,5.2,5.9,6,5.6,4.5,3,2.9,3.3,3.5
Dominican Republic,2.6,3,3,3,3,2.8,3,2.9,3.3,
Ecuador,2.7,2.5,2,2.1,2.3,2.5,2.4,2.2,2.2,3.4
Egypt,2.9,3.1,2.8,2.8,2.9,3.3,3.4,3.2,3.3,3.2
El Salvador,3.4,3.6,3.4,3.9,4,4,4.2,3.7,3.4,
Equatorial Guinea,1.9,1.9,1.7,1.9,2.1,1.9,,,,
Eritrea,2.5,2.6,2.6,2.8,2.9,2.6,2.6,,,5.6
Estonia,6.4,6.5,6.6,6.6,6.5,6.7,6.4,5.5,5.6,
Ethiopia,2.7,2.7,2.6,2.4,2.4,2.2,2.3,2.5,3.5,9.9
Finland,9.4,9.2,8.9,9,9.4,9.6,9.6,9.7,9.7,6.7
France,7.0,6.8,6.9,6.9,7.3,7.4,7.5,6.9,6.3,
Gabon,3.0,2.8,2.9,3.1,3.3,3,2.9,3.3,,
Gambia,3.5,3.2,2.9,1.9,2.3,2.5,2.7,2.8,2.5,2.4
Georgia,4.1,3.8,4.1,3.9,3.4,2.8,2.3,2,1.8,7.4
Germany,8.0,7.9,8,7.9,7.8,8,8.2,7.7,7.3,3.9
