State,Trump_2016,Trump_2020
Ala,0.62,0.62
Alaska,0.51,0.53
Ariz,0.48,0.49
Ark,0.61,0.62
Calif,0.32,0.34
Colo,0.43,0.42
Conn,0.41,0.39
DC,0.04,0.05
Del,0.42,0.4
Fla,0.49,0.51
Ga,0.5,0.49
Hawaii,0.3,0.34
Idaho,0.59,0.64
Ill,0.38,0.41
Ind,0.57,0.57
Iowa,0.51,0.53
Kan,0.56,0.56
Ky,0.63,0.62
La,0.58,0.59
Mass,0.33,0.44
Md,0.34,0.32
Me,0.45,0.32
Mich,0.47,0.48
Minn,0.45,0.45
Miss,0.58,0.41
Mo,0.56,0.41
Mont,0.56,0.41
NC,0.5,0.5
ND,0.63,0.65
Neb,0.59,0.58
Nev,0.46,0.48
NH,0.47,0.45
NJ,0.41,0.41
NM,0.4,0.44
NY,0.37,0.38
Ohio,0.51,0.53
Okla,0.65,0.65
Ore,0.39,0.4
Pa,0.48,0.49
RI,0.39,0.39
SC,0.55,0.55
SD,0.62,0.62
Tenn,0.61,0.61
Tex,0.52,0.52
Utah,0.45,0.58
Va,0.44,0.44
Vt,0.3,0.31
Wash,0.37,0.39
Wis,0.47,0.49
Wva,0.68,0.69
Wyo,0.68,0.7
